,,Avl etter fradrag av udsæden,,,,,,
Prestegjeld,Nr,Hvede,Rug,Byg,Blandkorn,Havre,Erter,Poteter
Ager,,285,1804,4689,1321,9997,477,39023
Asker,,102,659,1341,511,8970,149,14496
Næsodden,,21,128,216,6,1500,72,3435
Krogstad,,68,649,717,,6180,257,6354
Aas,,73,490,710,5,5436,261,7058
Drøbaks landdistrikt,,72,331,427,17,1912,69,7565
Vestbye,,33,536,557,,4399,188,3983
Enebak,,4,591,1323,,7870,330,2946
Fedt,,25,294,1645,,6329,463,4959
Skjesmoe,,15,412,1032,154,3965,318,5304
Nittedal,,2,132,767,108,2793,171,2868
Sørum,,13,341,1332,115,5707,338,3896
Urskoug,,2,516,804,65,6644,173,2900
Høland,,43,987,1027,143,5414,361,7717
Gjerdrum,,,210,878,106,2960,131,2357
Nannestad,,,558,2189,172,10793,527,3528
Ullensager,,18,822,2546,579,12915,905,10728
Næs,1,32,756,3874,4572,16540,620,12978
Eidsvold,,11,307,1744,1936,10760,560,14635
Hurdal,,,189,737,2858,868,134,5530
Trøgstad,,22,2031,1285,,9803,475,7156
Askim,,2,1131,586,,4185,578,3096
Edsberg,,33,1086,1055,36,11403,311,7853
Rødenæs,,12,450,192,37,2458,87,3532
Rakkestad,,33,1717,1372,103,11946,168,5701
Skibtved,,26,663,656,31,4507,217,5093
Spydeberg,,9,875,422,7,6824,338,4157
Id,,34,395,350,8,3985,23,5923
Berg,1,196,720,941,8,5470,190,10231
Skieberg,,512,1395,2700,58,10537,518,17240
Aremark,,117,463,406,23,5292,92,3434
Borge,1,192,363,1744,51,3630,348,8325
Hvaløer,,74,139,406,,938,21,2053
Onsøe,,104,340,1440,6,4984,818,4600
Frederiksstads landdist.,,48,115,584,23,1309,164,2624
Thunøe,,212,508,1448,,6271,502,8888
Raade,,172,485,1270,23,5185,835,12264
Rygge,,122,511,962,12,3051,130,15926
Mosse landdistrict,,42,492,251,,1075,24,11256
Vaaler,,52,380,574,,4650,177,5803
Haabel,,17,602,456,,2911,134,3650
Søndre Oudal,,,459,1009,5250,8845,163,28711
Nordre Oudal,,,26,231,1365,3518,32,7833
Vinger,,32,591,1164,2951,10193,78,26716
Grue,,5,295,1293,2777,9082,94,21907
Hof,1,,688,2869,8344,12990,171,21614
Elverum,,1,269,1809,10785,4695,268,13065
Aamodt,,,138,1032,2898,917,19,1629
Tryssild,,,,1030,77,,,1724
Reendalen,,,48,1984,921,49,2,1061
Tønset,,,,1047,7,4,,266
Tolgen,,,,48,,,,56
Qvikne,,,,532,,,,433
Stange,,50,1831,4323,10415,3150,962,15153
Rommedal,,14,1210,1307,5142,1773,494,5163
Løiten,,2,1069,1601,4394,2897,600,2195
Vang,1,65,2641,3519,15920,4047,1735,11753
Næs,2,19,700,2700,3489,1473,823,11618
Ringsager,,38,1158,3586,12959,1824,1134,21249
Østre Toten,,85,989,3864,5234,2416,935,19229
Vestre Toten,,3,578,1489,6180,2569,502,8222
Vardal,,6,709,873,4616,32,321,6000
Biri,,3,254,774,5776,28,172,7326
Faaberg,,8,512,2937,6045,281,247,9318
Gusdal,,10,422,6188,2992,99,59,6610
Øier,,6,199,4078,647,13,36,3908
Ringeboe,,4,396,8405,57,148,34,3799
Froen,,2,937,11640,1253,174,100,4303
Vaage,,16,329,7086,571,253,7,2085
Lomb,,,1372,10550,6,105,1,4961
Lessøe,,,8,4967,397,99,,102
Jevnager,,9,592,5026,1390,758,751,7733
Gran,,,834,8091,3985,838,550,10000
Land,,36,358,2028,8435,154,221,10348
Søndre Ourdal,,1,86,2261,2755,71,11,9384
Nordre Ourdal,,,53,4746,423,58,5,10002
Slidre,,,88,4154,413,341,,7343
Vang,2,,30,2869,,19,,2000
Hole,,87,429,2697,3249,856,770,9211
Nordrehoug,,67,633,2861,5243,2700,694,17312
Næs,3,,84,1645,787,324,,4133
Aal,,,,2444,,,,1812
Sandsværd,,190,90,715,171,5596,20,6582
Flesberg,,1,30,434,11,1026,,1773
Rolloug,,,21,2470,1128,2238,,6669
Sigdal,,16,23,573,2087,4279,11,5548
Modum,,55,130,1021,412,4977,150,7494
Eger,,306,528,1489,415,12334,84,24524
Lier,,252,409,1671,29,7022,400,26934
Bragernæs Landdistrict,,78,618,291,36,892,77,8229
Røgen,,25,141,500,29,3443,14,5301
Hurum,,75,102,303,14,2429,15,7560
Skouge,,141,598,504,28,2666,22,9963
Sande,,251,356,1242,4,6579,59,8753
Hof,2,101,180,402,14,2757,30,4524
Laurdal,,137,26,225,12,4036,12,4128
Botne,,34,162,548,6,3058,9,6277
Vaale,,120,340,1293,8,5287,63,7787
Ramnæs,,202,334,1180,5,6170,30,5729
Borre,,116,505,966,,3226,,7516
Sem,,243,1007,1251,186,6389,34,10414
Tøndsbergs Landdistrict,,,7,20,,12,,70
Nøtterøe,,154,301,817,,2137,,5695
Stokke,,214,315,1320,,9502,5,12707
Anneboe,,22,77,342,,3896,,4292
Sandeherred,,208,151,389,66,5025,,9023
Hedrum,,72,255,512,64,4824,,9606
Tjølling,,152,249,988,,4062,,7161
Brunlagnæs,,116,372,1092,9,3504,16,13208
Frederiksværn,,,,,14,6,,320
Eidanger,,9,234,267,45,1663,,3975
Gjerpen,,52,511,1536,366,5230,22,12455
Solum,,46,91,211,200,2123,1,5031
Porsgrund Landdist.,,9,36,63,7,299,,959
Bamble,,5,63,240,151,1808,,5171
Kragerøe Landdistrict,,4,47,481,522,493,,10156
Drangedal,,4,9,764,533,79,,6132
